1,2,7710,987654321,771,987654122
2,483,32,987654320,770,987654126
3,502,31,987654319,769,987654130
4,722,21,987654318,768,987654134
5,3,5113,987654317,767,987654138
6,484,32,987654316,766,987654142
7,503,30,987654315,765,987654146
8,723,21,987654314,764,987654150
9,4,3815,987654313,763,987654154
10,485,31,987654312,762,987654158
11,504,30,987654311,761,987654162
12,724,21,987654310,760,987654166
13,5,3036,987654309,759,987654170
14,486,31,987654308,758,987654174
15,505,30,987654307,757,987654178
16,725,21,987654306,756,987654182
17,6,2517,987654305,755,987654186
18,487,31,987654304,754,987654190
19,506,30,987654303,753,987654194
20,726,21,987654302,752,987654198
21,7,2146,987654301,751,987654202
22,488,31,987654300,750,987654206
23,507,30,987654299,749,987654210
24,727,21,987654298,748,987654214
25,8,1868,987654297,747,987654218
26,489,31,987654296,746,987654222
27,508,29,987654295,745,987654226
28,728,20,987654294,744,987654230
29,9,1651,987654293,743,987654234
30,490,30,987654292,742,987654238
31,509,29,987654291,741,987654242
32,729,20,987654290,740,987654246
33,10,1478,987654289,739,987654250
34,491,30,987654288,738,987654254
35,510,29,987654287,737,987654258
36,730,20,987654286,736,987654262
37,11,1336,987654285,735,987654266
38,492,30,987654284,734,987654270
39,511,29,987654283,733,987654274
40,731,20,987654282,732,987654278
41,12,1218,987654281,731,987654282
42,493,30,987654280,730,987654286
43,512,28,987654279,729,987654290
44,732,20,987654278,728,987654294
45,13,1118,987654277,727,987654298
46,494,29,987654276,726,987654302
47,513,28,987654275,725,987654306
48,733,20,987654274,724,987654310
49,14,1033,987654273,723,987654314
50,495,29,987654272,722,987654318
51,514,21,987654271,551,987654123
52,734,15,987654270,550,987654127
53,15,732,987654269,549,987654131
54,496,22,987654268,548,987654135
55,515,21,987654267,547,987654139
56,735,15,987654266,546,987654143
57,16,681,987654265,545,987654147
58,497,22,987654264,544,987654151
59,516,21,987654263,543,987654155
60,736,15,987654262,542,987654159
61,17,636,987654261,541,987654163
62,498,22,987654260,540,987654167
63,517,21,987654259,539,987654171
64,737,15,987654258,538,987654175
65,18,597,987654257,537,987654179
66,499,21,987654256,536,987654183
67,518,21,987654255,535,987654187
68,738,14,987654254,534,987654191
69,19,561,987654253,533,987654195
70,500,21,987654252,532,987654199
71,519,21,987654251,532,987654124
72,739,14,987654250,531,987654203
73,20,531,987654249,531,987654128
74,501,21,987654248,530,987654207
75,520,20,987654247,530,987654132
76,740,14,987654246,529,987654211
77,21,504,987654245,529,987654136
78,502,21,987654244,528,987654215
79,521,20,987654243,528,987654140
80,741,14,987654242,527,987654219
81,22,479,987654241,527,987654144
82,503,21,987654240,526,987654223
83,522,20,987654239,526,987654148
84,742,14,987654238,525,987654227
85,23,457,987654237,525,987654152
86,504,21,987654236,524,987654231
87,523,20,987654235,524,987654156
88,743,14,987654234,523,987654235
89,24,436,987654233,523,987654160
90,505,21,987654232,522,987654239
91,524,20,987654231,522,987654164
92,744,14,987654230,521,987654243
93,25,417,987654229,521,987654168
94,506,21,987654228,520,987654247
95,525,20,987654227,520,987654172
96,745,14,987654226,519,987654251
97,26,399,987654225,519,987654176
98,507,20,987654224,518,987654255
